Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Kållered D;72360;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1994-04-01 00:00:00;2016-03-02 09:00:00;30.0;57.6095;12.0673

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1994-03-01 06:00:01;1994-04-01 06:00:00;1994-03;120.5;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1994-04-01 06:00:01;1994-05-01 06:00:00;1994-04;47.0;Y;;Tidsperiod (fr.o.m.) = 1994-04-01 00:00:00 (UTC)
1994-05-01 06:00:01;1994-06-01 06:00:00;1994-05;15.0;Y;;Tidsperiod (t.o.m.) = 2015-12-01 06:00:00 (UTC)
1994-06-01 06:00:01;1994-07-01 06:00:00;1994-06;83.4;Y;;Värdet är summerat över = 1 månad
1994-07-01 06:00:01;1994-08-01 06:00:00;1994-07;7.3;Y;;
1994-08-01 06:00:01;1994-09-01 06:00:00;1994-08;94.0;Y;;Kvalitetskoderna:
1994-09-01 06:00:01;1994-10-01 06:00:00;1994-09;200.8;Y;;Grön (G) = Kontrollerade och godkända värden.
1994-10-01 06:00:01;1994-11-01 06:00:00;1994-10;86.1;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1994-11-01 06:00:01;1994-12-01 06:00:00;1994-11;59.7;Y;;
1994-12-01 06:00:01;1995-01-01 06:00:00;1994-12;148.8;Y;;Orsaker till saknade data:
1995-01-01 06:00:01;1995-02-01 06:00:00;1995-01;118.6;Y;;  stationen eller givaren har varit ur funktion.
1995-02-01 06:00:01;1995-03-01 06:00:00;1995-02;99.2;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1995-03-01 06:00:01;1995-04-01 06:00:00;1995-03;98.8;Y
1995-04-01 06:00:01;1995-05-01 06:00:00;1995-04;68.0;Y
1995-05-01 06:00:01;1995-06-01 06:00:00;1995-05;55.2;Y
1995-06-01 06:00:01;1995-07-01 06:00:00;1995-06;78.2;Y
1995-07-01 06:00:01;1995-08-01 06:00:00;1995-07;58.7;Y
1995-08-01 06:00:01;1995-09-01 06:00:00;1995-08;14.1;Y
