Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Lyckeby;65120;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1990-01-01 00:00:00;2016-01-31 23:59:59;25.0;56.2142;15.713

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1989-12-01 06:00:01;1990-01-01 06:00:00;1989-12;46.7;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1990-01-01 06:00:01;1990-02-01 06:00:00;1990-01;43.2;Y;;Tidsperiod (fr.o.m.) = 1990-01-01 00:00:00 (UTC)
1990-02-01 06:00:01;1990-03-01 06:00:00;1990-02;52.0;Y;;Tidsperiod (t.o.m.) = 2015-12-01 06:00:00 (UTC)
1990-03-01 06:00:01;1990-04-01 06:00:00;1990-03;17.8;Y;;Värdet är summerat över = 1 månad
1990-04-01 06:00:01;1990-05-01 06:00:00;1990-04;16.9;Y;;
1990-05-01 06:00:01;1990-06-01 06:00:00;1990-05;46.2;Y;;Kvalitetskoderna:
1990-06-01 06:00:01;1990-07-01 06:00:00;1990-06;40.5;Y;;Grön (G) = Kontrollerade och godkända värden.
1990-07-01 06:00:01;1990-08-01 06:00:00;1990-07;45.4;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1990-08-01 06:00:01;1990-09-01 06:00:00;1990-08;26.6;Y;;
1990-09-01 06:00:01;1990-10-01 06:00:00;1990-09;154.2;Y;;Orsaker till saknade data:
1990-10-01 06:00:01;1990-11-01 06:00:00;1990-10;57.8;Y;;  stationen eller givaren har varit ur funktion.
1990-11-01 06:00:01;1990-12-01 06:00:00;1990-11;90.2;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1990-12-01 06:00:01;1991-01-01 06:00:00;1990-12;37.9;Y
1991-01-01 06:00:01;1991-02-01 06:00:00;1991-01;52.8;Y
1991-02-01 06:00:01;1991-03-01 06:00:00;1991-02;43.4;Y
1991-03-01 06:00:01;1991-04-01 06:00:00;1991-03;16.8;Y
1991-04-01 06:00:01;1991-05-01 06:00:00;1991-04;22.9;Y
1991-05-01 06:00:01;1991-06-01 06:00:00;1991-05;47.5;Y
1991-06-01 06:00:01;1991-07-01 06:00:00;1991-06;134.4;Y
