Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Väse D;93210;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1972-08-01 00:00:00;2016-02-29 23:59:59;55.0;59.3675;13.8534

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1972-07-01 06:00:01;1972-08-01 06:00:00;1972-07;34.1;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1972-08-01 06:00:01;1972-09-01 06:00:00;1972-08;51.0;Y;;Tidsperiod (fr.o.m.) = 1972-08-01 00:00:00 (UTC)
1972-09-01 06:00:01;1972-10-01 06:00:00;1972-09;75.7;Y;;Tidsperiod (t.o.m.) = 2015-12-01 06:00:00 (UTC)
1972-10-01 06:00:01;1972-11-01 06:00:00;1972-10;35.7;Y;;Värdet är summerat över = 1 månad
1972-11-01 06:00:01;1972-12-01 06:00:00;1972-11;47.3;Y;;
1972-12-01 06:00:01;1973-01-01 06:00:00;1972-12;54.1;Y;;Kvalitetskoderna:
1973-01-01 06:00:01;1973-02-01 06:00:00;1973-01;36.0;Y;;Grön (G) = Kontrollerade och godkända värden.
1973-02-01 06:00:01;1973-03-01 06:00:00;1973-02;27.3;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1973-03-01 06:00:01;1973-04-01 06:00:00;1973-03;13.7;Y;;
1973-04-01 06:00:01;1973-05-01 06:00:00;1973-04;25.8;Y;;Orsaker till saknade data:
1973-05-01 06:00:01;1973-06-01 06:00:00;1973-05;48.7;Y;;  stationen eller givaren har varit ur funktion.
1973-06-01 06:00:01;1973-07-01 06:00:00;1973-06;24.9;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1973-07-01 06:00:01;1973-08-01 06:00:00;1973-07;68.6;Y
1973-08-01 06:00:01;1973-09-01 06:00:00;1973-08;56.3;Y
1973-09-01 06:00:01;1973-10-01 06:00:00;1973-09;48.1;Y
1973-10-01 06:00:01;1973-11-01 06:00:00;1973-10;17.5;Y
1973-11-01 06:00:01;1973-12-01 06:00:00;1973-11;44.0;Y
1973-12-01 06:00:01;1974-01-01 06:00:00;1973-12;47.7;Y
1974-01-01 06:00:01;1974-02-01 06:00:00;1974-01;59.4;Y
1974-02-01 06:00:01;1974-03-01 06:00:00;1974-02;33.4;Y
1974-03-01 06:00:01;1974-04-01 06:00:00;1974-03;14.9;Y
1974-04-01 06:00:01;1974-05-01 06:00:00;1974-04;0.4;Y
1974-05-01 06:00:01;1974-06-01 06:00:00;1974-05;27.1;Y
1974-06-01 06:00:01;1974-07-01 06:00:00;1974-06;36.8;Y
1974-07-01 06:00:01;1974-08-01 06:00:00;1974-07;45.0;Y
1974-08-01 06:00:01;1974-09-01 06:00:00;1974-08;74.4;Y
1974-09-01 06:00:01;1974-10-01 06:00:00;1974-09;128.3;Y
1974-10-01 06:00:01;1974-11-01 06:00:00;1974-10;78.8;Y
1974-11-01 06:00:01;1974-12-01 06:00:00;1974-11;143.8;Y
1974-12-01 06:00:01;1975-01-01 06:00:00;1974-12;76.6;Y
1975-01-01 06:00:01;1975-02-01 06:00:00;1975-01;74.6;Y
1975-02-01 06:00:01;1975-03-01 06:00:00;1975-02;13.2;Y
1975-03-01 06:00:01;1975-04-01 06:00:00;1975-03;30.9;Y
1975-04-01 06:00:01;1975-05-01 06:00:00;1975-04;32.8;Y
1975-05-01 06:00:01;1975-06-01 06:00:00;1975-05;14.9;Y
1975-06-01 06:00:01;1975-07-01 06:00:00;1975-06;11.5;Y
1975-07-01 06:00:01;1975-08-01 06:00:00;1975-07;28.5;Y
1975-08-01 06:00:01;1975-09-01 06:00:00;1975-08;31.1;Y
1975-09-01 06:00:01;1975-10-01 06:00:00;1975-09;100.0;Y
1975-10-01 06:00:01;1975-11-01 06:00:00;1975-10;34.2;Y
1975-11-01 06:00:01;1975-12-01 06:00:00;1975-11;41.6;Y
1975-12-01 06:00:01;1976-01-01 06:00:00;1975-12;54.6;Y
1976-01-01 06:00:01;1976-02-01 06:00:00;1976-01;38.2;Y
1976-02-01 06:00:01;1976-03-01 06:00:00;1976-02;19.6;Y
1976-03-01 06:00:01;1976-04-01 06:00:00;1976-03;8.3;Y
1976-04-01 06:00:01;1976-05-01 06:00:00;1976-04;18.0;Y
1976-05-01 06:00:01;1976-06-01 06:00:00;1976-05;23.9;Y
1976-06-01 06:00:01;1976-07-01 06:00:00;1976-06;20.3;Y
1976-07-01 06:00:01;1976-08-01 06:00:00;1976-07;38.2;Y
1976-08-01 06:00:01;1976-09-01 06:00:00;1976-08;30.5;Y
1976-09-01 06:00:01;1976-10-01 06:00:00;1976-09;53.3;Y
1976-10-01 06:00:01;1976-11-01 06:00:00;1976-10;59.3;Y
1976-11-01 06:00:01;1976-12-01 06:00:00;1976-11;65.5;Y
1976-12-01 06:00:01;1977-01-01 06:00:00;1976-12;77.2;Y
1977-01-01 06:00:01;1977-02-01 06:00:00;1977-01;117.9;Y
1977-02-01 06:00:01;1977-03-01 06:00:00;1977-02;25.8;Y
1977-03-01 06:00:01;1977-04-01 06:00:00;1977-03;52.1;Y
1977-04-01 06:00:01;1977-05-01 06:00:00;1977-04;82.5;Y
1977-05-01 06:00:01;1977-06-01 06:00:00;1977-05;60.8;Y
1977-06-01 06:00:01;1977-07-01 06:00:00;1977-06;49.5;Y
1977-07-01 06:00:01;1977-08-01 06:00:00;1977-07;47.2;Y
1977-08-01 06:00:01;1977-09-01 06:00:00;1977-08;35.4;Y
1977-09-01 06:00:01;1977-10-01 06:00:00;1977-09;51.1;Y
1977-10-01 06:00:01;1977-11-01 06:00:00;1977-10;74.8;Y
1977-11-01 06:00:01;1977-12-01 06:00:00;1977-11;108.7;Y
1977-12-01 06:00:01;1978-01-01 06:00:00;1977-12;53.0;Y
1978-01-01 06:00:01;1978-02-01 06:00:00;1978-01;37.5;Y
1978-02-01 06:00:01;1978-03-01 06:00:00;1978-02;39.2;Y
1978-03-01 06:00:01;1978-04-01 06:00:00;1978-03;68.3;Y
1978-04-01 06:00:01;1978-05-01 06:00:00;1978-04;4.1;Y
1978-05-01 06:00:01;1978-06-01 06:00:00;1978-05;9.2;Y
1978-06-01 06:00:01;1978-07-01 06:00:00;1978-06;65.9;Y
1978-07-01 06:00:01;1978-08-01 06:00:00;1978-07;61.5;Y
1978-08-01 06:00:01;1978-09-01 06:00:00;1978-08;55.6;Y
1978-09-01 06:00:01;1978-10-01 06:00:00;1978-09;80.9;Y
1978-10-01 06:00:01;1978-11-01 06:00:00;1978-10;13.0;Y
1978-11-01 06:00:01;1978-12-01 06:00:00;1978-11;31.6;Y
1978-12-01 06:00:01;1979-01-01 06:00:00;1978-12;31.1;Y
1979-01-01 06:00:01;1979-02-01 06:00:00;1979-01;20.5;Y
1979-02-01 06:00:01;1979-03-01 06:00:00;1979-02;12.8;Y
1979-03-01 06:00:01;1979-04-01 06:00:00;1979-03;56.1;Y
1979-04-01 06:00:01;1979-05-01 06:00:00;1979-04;55.5;Y
1979-05-01 06:00:01;1979-06-01 06:00:00;1979-05;42.2;Y
1979-06-01 06:00:01;1979-07-01 06:00:00;1979-06;42.3;Y
1979-07-01 06:00:01;1979-08-01 06:00:00;1979-07;120.0;Y
1979-08-01 06:00:01;1979-09-01 06:00:00;1979-08;91.2;Y
1979-09-01 06:00:01;1979-10-01 06:00:00;1979-09;50.2;Y
1979-10-01 06:00:01;1979-11-01 06:00:00;1979-10;44.3;Y
1979-11-01 06:00:01;1979-12-01 06:00:00;1979-11;125.7;Y
1979-12-01 06:00:01;1980-01-01 06:00:00;1979-12;46.1;Y
1980-01-01 06:00:01;1980-02-01 06:00:00;1980-01;7.3;Y
1980-02-01 06:00:01;1980-03-01 06:00:00;1980-02;24.1;Y
1980-03-01 06:00:01;1980-04-01 06:00:00;1980-03;15.9;Y
