Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Luleå Flygplats;162860;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1945-02-01 00:00:00;2016-03-02 10:00:00;17.0;65.5434;22.1193

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1945-01-01 06:00:01;1945-02-01 06:00:00;1945-01;35.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1945-02-01 06:00:01;1945-03-01 06:00:00;1945-02;25.0;G;;Tidsperiod (fr.o.m.) = 1945-02-01 00:00:00 (UTC)
1945-03-01 06:00:01;1945-04-01 06:00:00;1945-03;15.0;G;;Tidsperiod (t.o.m.) = 2015-12-01 06:00:00 (UTC)
1945-04-01 06:00:01;1945-05-01 06:00:00;1945-04;18.0;G;;Värdet är summerat över = 1 månad
1945-05-01 06:00:01;1945-06-01 06:00:00;1945-05;26.0;G;;
1945-06-01 06:00:01;1945-07-01 06:00:00;1945-06;52.0;G;;Kvalitetskoderna:
1945-07-01 06:00:01;1945-08-01 06:00:00;1945-07;17.0;G;;Grön (G) = Kontrollerade och godkända värden.
1945-08-01 06:00:01;1945-09-01 06:00:00;1945-08;98.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1945-09-01 06:00:01;1945-10-01 06:00:00;1945-09;25.0;G;;
1945-10-01 06:00:01;1945-11-01 06:00:00;1945-10;20.0;G;;Orsaker till saknade data:
1945-11-01 06:00:01;1945-12-01 06:00:00;1945-11;12.0;G;;  stationen eller givaren har varit ur funktion.
1945-12-01 06:00:01;1946-01-01 06:00:00;1945-12;17.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1946-01-01 06:00:01;1946-02-01 06:00:00;1946-01;21.0;G
1946-02-01 06:00:01;1946-03-01 06:00:00;1946-02;14.0;G
1946-03-01 06:00:01;1946-04-01 06:00:00;1946-03;5.0;G
1946-04-01 06:00:01;1946-05-01 06:00:00;1946-04;27.0;G
1946-05-01 06:00:01;1946-06-01 06:00:00;1946-05;5.0;G
1946-06-01 06:00:01;1946-07-01 06:00:00;1946-06;63.0;G
1946-07-01 06:00:01;1946-08-01 06:00:00;1946-07;31.0;G
1946-08-01 06:00:01;1946-09-01 06:00:00;1946-08;36.0;G
1946-09-01 06:00:01;1946-10-01 06:00:00;1946-09;71.0;G
1946-10-01 06:00:01;1946-11-01 06:00:00;1946-10;7.0;G
1946-11-01 06:00:01;1946-12-01 06:00:00;1946-11;25.0;G
1946-12-01 06:00:01;1947-01-01 06:00:00;1946-12;20.0;G
