Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Litsnäset;134170;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1992-08-01 00:00:00;1993-07-31 23:59:59;325.0;63.2873;14.7362
1998-06-01 00:00:00;2016-02-29 23:59:59;275.0;63.3089;14.7065
1993-08-01 00:00:00;1998-05-31 23:59:59;275.0;63.3109;14.7034

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1992-07-01 06:00:01;1992-08-01 06:00:00;1992-07;122.3;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1992-08-01 06:00:01;1992-09-01 06:00:00;1992-08;115.1;Y;;Tidsperiod (fr.o.m.) = 1992-08-01 00:00:00 (UTC)
1992-09-01 06:00:01;1992-10-01 06:00:00;1992-09;26.5;Y;;Tidsperiod (t.o.m.) = 2015-12-01 06:00:00 (UTC)
1992-10-01 06:00:01;1992-11-01 06:00:00;1992-10;23.5;Y;;Värdet är summerat över = 1 månad
1992-11-01 06:00:01;1992-12-01 06:00:00;1992-11;85.5;Y;;
1992-12-01 06:00:01;1993-01-01 06:00:00;1992-12;25.3;Y;;Kvalitetskoderna:
1993-01-01 06:00:01;1993-02-01 06:00:00;1993-01;28.0;Y;;Grön (G) = Kontrollerade och godkända värden.
1993-02-01 06:00:01;1993-03-01 06:00:00;1993-02;28.9;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1993-03-01 06:00:01;1993-04-01 06:00:00;1993-03;16.2;Y;;
1993-04-01 06:00:01;1993-05-01 06:00:00;1993-04;5.9;Y;;Orsaker till saknade data:
1993-05-01 06:00:01;1993-06-01 06:00:00;1993-05;84.7;Y;;  stationen eller givaren har varit ur funktion.
1993-06-01 06:00:01;1993-07-01 06:00:00;1993-06;72.8;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1993-07-01 06:00:01;1993-08-01 06:00:00;1993-07;153.0;G
1993-08-01 06:00:01;1993-09-01 06:00:00;1993-08;90.9;Y
1993-09-01 06:00:01;1993-10-01 06:00:00;1993-09;33.2;Y
1993-10-01 06:00:01;1993-11-01 06:00:00;1993-10;86.4;Y
1993-11-01 06:00:01;1993-12-01 06:00:00;1993-11;8.3;Y
1993-12-01 06:00:01;1994-01-01 06:00:00;1993-12;44.2;Y
1994-01-01 06:00:01;1994-02-01 06:00:00;1994-01;64.1;Y
1994-02-01 06:00:01;1994-03-01 06:00:00;1994-02;1.0;Y
1994-03-01 06:00:01;1994-04-01 06:00:00;1994-03;20.9;Y
1994-04-01 06:00:01;1994-05-01 06:00:00;1994-04;23.4;Y
1994-05-01 06:00:01;1994-06-01 06:00:00;1994-05;14.7;Y
1994-06-01 06:00:01;1994-07-01 06:00:00;1994-06;44.9;Y
1994-07-01 06:00:01;1994-08-01 06:00:00;1994-07;21.2;Y
1994-08-01 06:00:01;1994-09-01 06:00:00;1994-08;42.1;Y
1994-09-01 06:00:01;1994-10-01 06:00:00;1994-09;59.0;Y
1994-10-01 06:00:01;1994-11-01 06:00:00;1994-10;64.3;Y
1994-11-01 06:00:01;1994-12-01 06:00:00;1994-11;53.5;Y
1994-12-01 06:00:01;1995-01-01 06:00:00;1994-12;31.6;Y
1995-01-01 06:00:01;1995-02-01 06:00:00;1995-01;33.9;Y
1995-02-01 06:00:01;1995-03-01 06:00:00;1995-02;15.1;Y
1995-03-01 06:00:01;1995-04-01 06:00:00;1995-03;45.4;Y
1995-07-01 06:00:01;1995-08-01 06:00:00;1995-07;54.0;Y
1995-08-01 06:00:01;1995-09-01 06:00:00;1995-08;63.5;Y
1995-09-01 06:00:01;1995-10-01 06:00:00;1995-09;27.9;Y
1995-10-01 06:00:01;1995-11-01 06:00:00;1995-10;38.0;Y
1995-11-01 06:00:01;1995-12-01 06:00:00;1995-11;42.4;Y
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;5.9;Y
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;2.3;Y
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;13.0;Y
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;13.9;Y
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;19.7;Y
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;41.4;Y
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;98.4;Y
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;67.5;Y
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;58.9;Y
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;23.2;Y
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;58.0;Y
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;76.2;Y
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;36.1;Y
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;8.7;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;42.3;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;32.6;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;25.4;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;39.5;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;72.6;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;61.8;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;69.1;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;43.0;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;38.4;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;60.9;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;24.9;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;43.0;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;48.9;Y
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;25.1;Y
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;36.9;Y
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;10.6;G
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;123.2;Y
