Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Stockholm;98210;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1786-02-01 00:00:00;2016-03-02 10:00:00;44.0;59.342;18.0575

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1786-01-02 06:00:01;1786-02-01 06:00:00;1786-01;24.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1786-01-30 06:00:01;1786-03-01 06:00:00;1786-02;3.0;G;;Tidsperiod (fr.o.m.) = 1786-02-01 00:00:00 (UTC)
1786-03-02 06:00:01;1786-04-01 06:00:00;1786-03;24.0;G;;Tidsperiod (t.o.m.) = 2015-12-01 06:00:00 (UTC)
1786-04-01 06:00:01;1786-05-01 06:00:00;1786-04;5.0;G;;Värdet är summerat över = 1 månad
1786-05-02 06:00:01;1786-06-01 06:00:00;1786-05;38.0;G;;
1786-06-01 06:00:01;1786-07-01 06:00:00;1786-06;14.0;G;;Kvalitetskoderna:
1786-07-02 06:00:01;1786-08-01 06:00:00;1786-07;27.0;G;;Grön (G) = Kontrollerade och godkända värden.
1786-08-02 06:00:01;1786-09-01 06:00:00;1786-08;137.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1786-09-01 06:00:01;1786-10-01 06:00:00;1786-09;113.0;G;;
1786-10-02 06:00:01;1786-11-01 06:00:00;1786-10;40.0;G;;Orsaker till saknade data:
1786-11-01 06:00:01;1786-12-01 06:00:00;1786-11;11.0;G;;  stationen eller givaren har varit ur funktion.
1786-12-02 06:00:01;1787-01-01 06:00:00;1786-12;34.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1787-01-02 06:00:01;1787-02-01 06:00:00;1787-01;11.0;G
1787-01-30 06:00:01;1787-03-01 06:00:00;1787-02;30.0;G
1787-03-02 06:00:01;1787-04-01 06:00:00;1787-03;34.0;G
1787-04-01 06:00:01;1787-05-01 06:00:00;1787-04;12.0;G
1787-05-02 06:00:01;1787-06-01 06:00:00;1787-05;58.0;G
1787-06-01 06:00:01;1787-07-01 06:00:00;1787-06;33.0;G
1787-07-02 06:00:01;1787-08-01 06:00:00;1787-07;146.0;G
1787-08-02 06:00:01;1787-09-01 06:00:00;1787-08;128.0;G
1787-09-01 06:00:01;1787-10-01 06:00:00;1787-09;67.0;G
1787-10-02 06:00:01;1787-11-01 06:00:00;1787-10;39.0;G
1787-11-01 06:00:01;1787-12-01 06:00:00;1787-11;65.0;G
1787-12-02 06:00:01;1788-01-01 06:00:00;1787-12;29.0;G
