Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Holmön A;140460;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2005-06-01 00:00:00;2016-03-02 10:00:00;6.0;63.8082;20.8692

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2005-05-02 06:00:01;2005-06-01 06:00:00;2005-05;39.6;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2005-06-01 06:00:01;2005-07-01 06:00:00;2005-06;44.4;Y;;Tidsperiod (fr.o.m.) = 2005-06-01 00:00:00 (UTC)
2005-07-02 06:00:01;2005-08-01 06:00:00;2005-07;36.9;Y;;Tidsperiod (t.o.m.) = 2015-12-01 06:00:00 (UTC)
2005-08-02 06:00:01;2005-09-01 06:00:00;2005-08;90.6;Y;;Värdet är summerat över = 1 månad
2005-09-01 06:00:01;2005-10-01 06:00:00;2005-09;26.4;Y;;
2005-10-02 06:00:01;2005-11-01 06:00:00;2005-10;16.2;Y;;Kvalitetskoderna:
2005-11-01 06:00:01;2005-12-01 06:00:00;2005-11;57.3;Y;;Grön (G) = Kontrollerade och godkända värden.
2005-12-02 06:00:01;2006-01-01 06:00:00;2005-12;38.2;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2006-01-02 06:00:01;2006-02-01 06:00:00;2006-01;16.8;Y;;
2006-01-30 06:00:01;2006-03-01 06:00:00;2006-02;20.4;Y;;Orsaker till saknade data:
2006-03-02 06:00:01;2006-04-01 06:00:00;2006-03;36.7;Y;;  stationen eller givaren har varit ur funktion.
2006-04-01 06:00:01;2006-05-01 06:00:00;2006-04;57.0;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2006-05-02 06:00:01;2006-06-01 06:00:00;2006-05;28.9;Y
2006-06-01 06:00:01;2006-07-01 06:00:00;2006-06;19.9;Y
2006-07-02 06:00:01;2006-08-01 06:00:00;2006-07;11.7;Y
2006-08-02 06:00:01;2006-09-01 06:00:00;2006-08;23.4;Y
2006-09-01 06:00:01;2006-10-01 06:00:00;2006-09;77.2;Y
2006-10-02 06:00:01;2006-11-01 06:00:00;2006-10;112.7;Y
2006-11-01 06:00:01;2006-12-01 06:00:00;2006-11;102.7;Y
2006-12-02 06:00:01;2007-01-01 06:00:00;2006-12;56.5;Y
2007-01-02 06:00:01;2007-02-01 06:00:00;2007-01;59.9;Y
2007-01-30 06:00:01;2007-03-01 06:00:00;2007-02;27.9;Y
2007-03-02 06:00:01;2007-04-01 06:00:00;2007-03;38.1;Y
2007-04-01 06:00:01;2007-05-01 06:00:00;2007-04;10.0;Y
2007-05-02 06:00:01;2007-06-01 06:00:00;2007-05;43.8;Y
2007-06-01 06:00:01;2007-07-01 06:00:00;2007-06;28.8;Y
2007-07-02 06:00:01;2007-08-01 06:00:00;2007-07;68.5;Y
2007-08-02 06:00:01;2007-09-01 06:00:00;2007-08;112.9;Y
2007-09-01 06:00:01;2007-10-01 06:00:00;2007-09;53.1;Y
2007-10-02 06:00:01;2007-11-01 06:00:00;2007-10;21.9;Y
2007-11-01 06:00:01;2007-12-01 06:00:00;2007-11;60.3;Y
2007-12-02 06:00:01;2008-01-01 06:00:00;2007-12;67.4;Y
2008-01-02 06:00:01;2008-02-01 06:00:00;2008-01;65.7;Y
2008-01-31 06:00:01;2008-03-01 06:00:00;2008-02;37.3;Y
2008-03-02 06:00:01;2008-04-01 06:00:00;2008-03;43.9;Y
