Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Växjö A;64510;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1995-09-01 00:00:00;2016-03-02 09:00:00;199.0;56.8464;14.8324

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1995-08-01 06:00:01;1995-09-01 06:00:00;1995-08;5.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1995-10-01 06:00:01;1995-11-01 06:00:00;1995-10;48.3;Y;;Tidsperiod (fr.o.m.) = 1995-09-01 00:00:00 (UTC)
1995-11-01 06:00:01;1995-12-01 06:00:00;1995-11;46.6;Y;;Tidsperiod (t.o.m.) = 2015-12-01 06:00:00 (UTC)
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;15.3;Y;;Värdet är summerat över = 1 månad
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;13.5;Y;;
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;20.0;Y;;Kvalitetskoderna:
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;18.3;Y;;Grön (G) = Kontrollerade och godkända värden.
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;6.3;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;128.0;Y;;
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;30.6;Y;;Orsaker till saknade data:
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;75.9;Y;;  stationen eller givaren har varit ur funktion.
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;41.7;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;47.3;Y
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;39.3;Y
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;81.6;Y
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;37.4;Y
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;9.1;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;96.3;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;28.9;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;37.2;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;78.9;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;73.6;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;119.3;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;42.7;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;51.4;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;81.4;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;51.9;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;85.9;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;47.5;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;36.7;Y
