Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Visby D;78390;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2012-11-01 00:00:00;2012-12-31 23:59:59;40.0;57.6294;18.2955
2013-01-01 00:00:00;2016-03-02 09:00:00;50.0;57.6477;18.3494
1998-06-01 00:00:00;2012-05-01 23:59:59;50.0;57.6477;18.3494
1860-02-01 00:00:00;1986-05-31 23:59:59;28.0;57.636;18.2891

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1860-01-01 06:00:01;1860-02-01 06:00:00;1860-01;41.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1860-02-01 06:00:01;1860-03-01 06:00:00;1860-02;48.0;G;;Tidsperiod (fr.o.m.) = 1860-02-01 00:00:00 (UTC)
1860-03-01 06:00:01;1860-04-01 06:00:00;1860-03;32.0;G;;Tidsperiod (t.o.m.) = 2015-12-01 06:00:00 (UTC)
1860-04-01 06:00:01;1860-05-01 06:00:00;1860-04;5.0;G;;Värdet är summerat över = 1 månad
1860-05-01 06:00:01;1860-06-01 06:00:00;1860-05;9.0;G;;
1860-06-01 06:00:01;1860-07-01 06:00:00;1860-06;70.0;G;;Kvalitetskoderna:
1860-07-01 06:00:01;1860-08-01 06:00:00;1860-07;49.0;G;;Grön (G) = Kontrollerade och godkända värden.
1860-08-01 06:00:01;1860-09-01 06:00:00;1860-08;186.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1860-09-01 06:00:01;1860-10-01 06:00:00;1860-09;35.0;G;;
1860-10-01 06:00:01;1860-11-01 06:00:00;1860-10;72.0;G;;Orsaker till saknade data:
1860-11-01 06:00:01;1860-12-01 06:00:00;1860-11;37.0;G;;  stationen eller givaren har varit ur funktion.
1860-12-01 06:00:01;1861-01-01 06:00:00;1860-12;47.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1861-01-01 06:00:01;1861-02-01 06:00:00;1861-01;35.0;G
1861-02-01 06:00:01;1861-03-01 06:00:00;1861-02;34.0;G
1861-03-01 06:00:01;1861-04-01 06:00:00;1861-03;22.0;G
1861-04-01 06:00:01;1861-05-01 06:00:00;1861-04;20.0;G
1861-05-01 06:00:01;1861-06-01 06:00:00;1861-05;38.0;G
1861-06-01 06:00:01;1861-07-01 06:00:00;1861-06;6.0;G
1861-07-01 06:00:01;1861-08-01 06:00:00;1861-07;68.0;G
1861-08-01 06:00:01;1861-09-01 06:00:00;1861-08;73.0;G
1861-09-01 06:00:01;1861-10-01 06:00:00;1861-09;70.0;G
1861-10-01 06:00:01;1861-11-01 06:00:00;1861-10;3.0;G
1861-11-01 06:00:01;1861-12-01 06:00:00;1861-11;110.0;G
1861-12-01 06:00:01;1862-01-01 06:00:00;1861-12;9.0;G
1862-01-01 06:00:01;1862-02-01 06:00:00;1862-01;23.0;G
1862-02-01 06:00:01;1862-03-01 06:00:00;1862-02;40.0;G
1862-03-01 06:00:01;1862-04-01 06:00:00;1862-03;30.0;G
1862-04-01 06:00:01;1862-05-01 06:00:00;1862-04;32.0;G
1862-05-01 06:00:01;1862-06-01 06:00:00;1862-05;14.0;G
1862-06-01 06:00:01;1862-07-01 06:00:00;1862-06;34.0;G
1862-07-01 06:00:01;1862-08-01 06:00:00;1862-07;29.0;G
1862-08-01 06:00:01;1862-09-01 06:00:00;1862-08;22.0;G
1862-09-01 06:00:01;1862-10-01 06:00:00;1862-09;11.0;G
1862-10-01 06:00:01;1862-11-01 06:00:00;1862-10;72.0;G
1862-11-01 06:00:01;1862-12-01 06:00:00;1862-11;30.0;G
1862-12-01 06:00:01;1863-01-01 06:00:00;1862-12;29.0;G
1863-01-01 06:00:01;1863-02-01 06:00:00;1863-01;23.0;G
1863-02-01 06:00:01;1863-03-01 06:00:00;1863-02;9.0;G
1863-03-01 06:00:01;1863-04-01 06:00:00;1863-03;7.0;G
1863-04-01 06:00:01;1863-05-01 06:00:00;1863-04;19.0;G
1863-05-01 06:00:01;1863-06-01 06:00:00;1863-05;23.0;G
1863-06-01 06:00:01;1863-07-01 06:00:00;1863-06;18.0;G
1863-07-01 06:00:01;1863-08-01 06:00:00;1863-07;96.0;G
1863-08-01 06:00:01;1863-09-01 06:00:00;1863-08;14.0;G
1863-09-01 06:00:01;1863-10-01 06:00:00;1863-09;74.0;G
1863-10-01 06:00:01;1863-11-01 06:00:00;1863-10;55.0;G
1863-11-01 06:00:01;1863-12-01 06:00:00;1863-11;39.0;G
1863-12-01 06:00:01;1864-01-01 06:00:00;1863-12;27.0;G
1864-01-01 06:00:01;1864-02-01 06:00:00;1864-01;23.0;G
1864-02-01 06:00:01;1864-03-01 06:00:00;1864-02;33.0;G
1864-03-01 06:00:01;1864-04-01 06:00:00;1864-03;31.0;G
1864-04-01 06:00:01;1864-05-01 06:00:00;1864-04;9.0;G
1864-05-01 06:00:01;1864-06-01 06:00:00;1864-05;33.0;G
1864-06-01 06:00:01;1864-07-01 06:00:00;1864-06;30.0;G
1864-07-01 06:00:01;1864-08-01 06:00:00;1864-07;29.0;G
1864-08-01 06:00:01;1864-09-01 06:00:00;1864-08;137.0;G
1864-09-01 06:00:01;1864-10-01 06:00:00;1864-09;50.0;G
1864-10-01 06:00:01;1864-11-01 06:00:00;1864-10;36.0;G
1864-11-01 06:00:01;1864-12-01 06:00:00;1864-11;68.0;G
1864-12-01 06:00:01;1865-01-01 06:00:00;1864-12;21.0;G
1865-01-01 06:00:01;1865-02-01 06:00:00;1865-01;19.0;G
1865-02-01 06:00:01;1865-03-01 06:00:00;1865-02;20.0;G
1865-03-01 06:00:01;1865-04-01 06:00:00;1865-03;28.0;G
1865-04-01 06:00:01;1865-05-01 06:00:00;1865-04;6.0;G
1865-05-01 06:00:01;1865-06-01 06:00:00;1865-05;7.0;G
1865-06-01 06:00:01;1865-07-01 06:00:00;1865-06;10.0;G
1865-07-01 06:00:01;1865-08-01 06:00:00;1865-07;94.0;G
1865-08-01 06:00:01;1865-09-01 06:00:00;1865-08;25.0;G
1865-09-01 06:00:01;1865-10-01 06:00:00;1865-09;9.0;G
1865-10-01 06:00:01;1865-11-01 06:00:00;1865-10;2.0;G
1865-11-01 06:00:01;1865-12-01 06:00:00;1865-11;9.0;G
1865-12-01 06:00:01;1866-01-01 06:00:00;1865-12;0.0;G
1866-01-01 06:00:01;1866-02-01 06:00:00;1866-01;20.0;G
1866-02-01 06:00:01;1866-03-01 06:00:00;1866-02;74.0;G
1866-03-01 06:00:01;1866-04-01 06:00:00;1866-03;16.0;G
1866-04-01 06:00:01;1866-05-01 06:00:00;1866-04;5.0;G
1866-05-01 06:00:01;1866-06-01 06:00:00;1866-05;3.0;G
1866-06-01 06:00:01;1866-07-01 06:00:00;1866-06;10.0;G
1866-07-01 06:00:01;1866-08-01 06:00:00;1866-07;70.0;G
1866-08-01 06:00:01;1866-09-01 06:00:00;1866-08;28.0;G
1866-09-01 06:00:01;1866-10-01 06:00:00;1866-09;65.0;G
1866-10-01 06:00:01;1866-11-01 06:00:00;1866-10;12.0;G
1866-11-01 06:00:01;1866-12-01 06:00:00;1866-11;63.0;G
1866-12-01 06:00:01;1867-01-01 06:00:00;1866-12;48.0;G
1867-01-01 06:00:01;1867-02-01 06:00:00;1867-01;77.0;G
1867-02-01 06:00:01;1867-03-01 06:00:00;1867-02;8.0;G
1867-03-01 06:00:01;1867-04-01 06:00:00;1867-03;0.0;G
1867-04-01 06:00:01;1867-05-01 06:00:00;1867-04;15.0;G
1867-05-01 06:00:01;1867-06-01 06:00:00;1867-05;18.0;G
1867-06-01 06:00:01;1867-07-01 06:00:00;1867-06;80.0;G
1867-07-01 06:00:01;1867-08-01 06:00:00;1867-07;105.0;G
1867-08-01 06:00:01;1867-09-01 06:00:00;1867-08;31.0;G
1867-09-01 06:00:01;1867-10-01 06:00:00;1867-09;33.0;G
1867-10-01 06:00:01;1867-11-01 06:00:00;1867-10;52.0;G
1867-11-01 06:00:01;1867-12-01 06:00:00;1867-11;39.0;G
1867-12-01 06:00:01;1868-01-01 06:00:00;1867-12;52.0;G
1868-01-01 06:00:01;1868-02-01 06:00:00;1868-01;48.0;G
1868-02-01 06:00:01;1868-03-01 06:00:00;1868-02;14.0;G
1868-03-01 06:00:01;1868-04-01 06:00:00;1868-03;10.0;G
1868-04-01 06:00:01;1868-05-01 06:00:00;1868-04;4.0;G
1868-05-01 06:00:01;1868-06-01 06:00:00;1868-05;31.0;G
1868-06-01 06:00:01;1868-07-01 06:00:00;1868-06;23.0;G
1868-07-01 06:00:01;1868-08-01 06:00:00;1868-07;22.0;G
1868-08-01 06:00:01;1868-09-01 06:00:00;1868-08;36.0;G
1868-09-01 06:00:01;1868-10-01 06:00:00;1868-09;100.0;G
1868-10-01 06:00:01;1868-11-01 06:00:00;1868-10;55.0;G
1868-11-01 06:00:01;1868-12-01 06:00:00;1868-11;37.0;G
1868-12-01 06:00:01;1869-01-01 06:00:00;1868-12;37.0;G
1869-01-01 06:00:01;1869-02-01 06:00:00;1869-01;10.0;G
1869-02-01 06:00:01;1869-03-01 06:00:00;1869-02;39.0;G
1869-03-01 06:00:01;1869-04-01 06:00:00;1869-03;11.0;G
1869-04-01 06:00:01;1869-05-01 06:00:00;1869-04;16.0;G
1869-05-01 06:00:01;1869-06-01 06:00:00;1869-05;26.0;G
1869-06-01 06:00:01;1869-07-01 06:00:00;1869-06;49.0;G
1869-07-01 06:00:01;1869-08-01 06:00:00;1869-07;31.0;G
1869-08-01 06:00:01;1869-09-01 06:00:00;1869-08;36.0;G
1869-09-01 06:00:01;1869-10-01 06:00:00;1869-09;61.0;G
1869-10-01 06:00:01;1869-11-01 06:00:00;1869-10;64.0;G
1869-11-01 06:00:01;1869-12-01 06:00:00;1869-11;44.0;G
1869-12-01 06:00:01;1870-01-01 06:00:00;1869-12;30.0;G
1870-01-01 06:00:01;1870-02-01 06:00:00;1870-01;29.0;G
1870-02-01 06:00:01;1870-03-01 06:00:00;1870-02;11.0;G
1870-03-01 06:00:01;1870-04-01 06:00:00;1870-03;25.0;G
1870-04-01 06:00:01;1870-05-01 06:00:00;1870-04;2.0;G
1870-05-01 06:00:01;1870-06-01 06:00:00;1870-05;39.0;G
1870-06-01 06:00:01;1870-07-01 06:00:00;1870-06;17.0;G
1870-07-01 06:00:01;1870-08-01 06:00:00;1870-07;14.0;G
1870-08-01 06:00:01;1870-09-01 06:00:00;1870-08;96.0;G
1870-09-01 06:00:01;1870-10-01 06:00:00;1870-09;17.0;G
1870-10-01 06:00:01;1870-11-01 06:00:00;1870-10;70.0;G
1870-11-01 06:00:01;1870-12-01 06:00:00;1870-11;102.0;G
1870-12-01 06:00:01;1871-01-01 06:00:00;1870-12;79.0;G
1871-01-01 06:00:01;1871-02-01 06:00:00;1871-01;33.0;G
1871-02-01 06:00:01;1871-03-01 06:00:00;1871-02;29.0;G
1871-03-01 06:00:01;1871-04-01 06:00:00;1871-03;8.0;G
1871-04-01 06:00:01;1871-05-01 06:00:00;1871-04;33.0;G
1871-05-01 06:00:01;1871-06-01 06:00:00;1871-05;12.0;G
1871-06-01 06:00:01;1871-07-01 06:00:00;1871-06;34.0;G
1871-07-01 06:00:01;1871-08-01 06:00:00;1871-07;37.0;G
1871-08-01 06:00:01;1871-09-01 06:00:00;1871-08;22.0;G
1871-09-01 06:00:01;1871-10-01 06:00:00;1871-09;39.0;G
1871-10-01 06:00:01;1871-11-01 06:00:00;1871-10;22.0;G
1871-11-01 06:00:01;1871-12-01 06:00:00;1871-11;25.0;G
1871-12-01 06:00:01;1872-01-01 06:00:00;1871-12;48.0;G
1872-01-01 06:00:01;1872-02-01 06:00:00;1872-01;20.0;G
1872-02-01 06:00:01;1872-03-01 06:00:00;1872-02;18.0;G
1872-03-01 06:00:01;1872-04-01 06:00:00;1872-03;30.0;G
1872-04-01 06:00:01;1872-05-01 06:00:00;1872-04;36.0;G
1872-05-01 06:00:01;1872-06-01 06:00:00;1872-05;50.0;G
1872-06-01 06:00:01;1872-07-01 06:00:00;1872-06;44.0;G
1872-07-01 06:00:01;1872-08-01 06:00:00;1872-07;48.0;G
1872-08-01 06:00:01;1872-09-01 06:00:00;1872-08;40.0;G
1872-09-01 06:00:01;1872-10-01 06:00:00;1872-09;93.0;G
1872-10-01 06:00:01;1872-11-01 06:00:00;1872-10;62.0;G
1872-11-01 06:00:01;1872-12-01 06:00:00;1872-11;35.0;G
1872-12-01 06:00:01;1873-01-01 06:00:00;1872-12;73.0;G
1873-01-01 06:00:01;1873-02-01 06:00:00;1873-01;67.0;G
1873-02-01 06:00:01;1873-03-01 06:00:00;1873-02;13.0;G
1873-03-01 06:00:01;1873-04-01 06:00:00;1873-03;13.0;G
1873-04-01 06:00:01;1873-05-01 06:00:00;1873-04;11.0;G
1873-05-01 06:00:01;1873-06-01 06:00:00;1873-05;46.0;G
1873-06-01 06:00:01;1873-07-01 06:00:00;1873-06;14.0;G
1873-07-01 06:00:01;1873-08-01 06:00:00;1873-07;11.0;G
1873-08-01 06:00:01;1873-09-01 06:00:00;1873-08;56.0;G
