"Pågående sjukfall efter region, kön, ålder och år"

"region";"kön";"ålder";"2014"
"0114 Upplands Väsby";"totalt";"samtliga åldrar";870
"0115 Vallentuna";"totalt";"samtliga åldrar";645
"0117 Österåker";"totalt";"samtliga åldrar";706
"0120 Värmdö";"totalt";"samtliga åldrar";741
"0123 Järfälla";"totalt";"samtliga åldrar";1153
"0125 Ekerö";"totalt";"samtliga åldrar";446
"0126 Huddinge";"totalt";"samtliga åldrar";2045
"0127 Botkyrka";"totalt";"samtliga åldrar";1905
"0128 Salem";"totalt";"samtliga åldrar";328
"0136 Haninge";"totalt";"samtliga åldrar";1661
"0138 Tyresö";"totalt";"samtliga åldrar";887
"0139 Upplands-Bro";"totalt";"samtliga åldrar";448
"0140 Nykvarn";"totalt";"samtliga åldrar";182
"0160 Täby";"totalt";"samtliga åldrar";896
"0162 Danderyd";"totalt";"samtliga åldrar";274
"0163 Sollentuna";"totalt";"samtliga åldrar";1032
"0180 Stockholm";"totalt";"samtliga åldrar";14384
"0181 Södertälje";"totalt";"samtliga åldrar";1835
"0182 Nacka";"totalt";"samtliga åldrar";1332
"0183 Sundbyberg";"totalt";"samtliga åldrar";733
"0184 Solna";"totalt";"samtliga åldrar";1108
"0186 Lidingö";"totalt";"samtliga åldrar";546
"0187 Vaxholm";"totalt";"samtliga åldrar";187
"0188 Norrtälje";"totalt";"samtliga åldrar";1395
"0191 Sigtuna";"totalt";"samtliga åldrar";933
"0192 Nynäshamn";"totalt";"samtliga åldrar";601
"0305 Håbo";"totalt";"samtliga åldrar";439
"0319 Älvkarleby";"totalt";"samtliga åldrar";195
"0330 Knivsta";"totalt";"samtliga åldrar";291
"0331 Heby";"totalt";"samtliga åldrar";299
"0360 Tierp";"totalt";"samtliga åldrar";393
"0380 Uppsala";"totalt";"samtliga åldrar";3520
"0381 Enköping";"totalt";"samtliga åldrar";907
"0382 Östhammar";"totalt";"samtliga åldrar";341
"0428 Vingåker";"totalt";"samtliga åldrar";186
"0461 Gnesta";"totalt";"samtliga åldrar";220
"0480 Nyköping";"totalt";"samtliga åldrar";946
"0481 Oxelösund";"totalt";"samtliga åldrar";239
"0482 Flen";"totalt";"samtliga åldrar";281
"0483 Katrineholm";"totalt";"samtliga åldrar";690
"0484 Eskilstuna";"totalt";"samtliga åldrar";1823
"0486 Strängnäs";"totalt";"samtliga åldrar";726
"0488 Trosa";"totalt";"samtliga åldrar";252
"0509 Ödeshög";"totalt";"samtliga åldrar";75
"0512 Ydre";"totalt";"samtliga åldrar";70
"0513 Kinda";"totalt";"samtliga åldrar";167
"0560 Boxholm";"totalt";"samtliga åldrar";87
"0561 Åtvidaberg";"totalt";"samtliga åldrar";177
"0562 Finspång";"totalt";"samtliga åldrar";282
"0563 Valdemarsvik";"totalt";"samtliga åldrar";105
"0580 Linköping";"totalt";"samtliga åldrar";2136
"0581 Norrköping";"totalt";"samtliga åldrar";1964
"0582 Söderköping";"totalt";"samtliga åldrar";204
"0583 Motala";"totalt";"samtliga åldrar";891
"0584 Vadstena";"totalt";"samtliga åldrar";157
"0586 Mjölby";"totalt";"samtliga åldrar";512
"0604 Aneby";"totalt";"samtliga åldrar";137
"0617 Gnosjö";"totalt";"samtliga åldrar";142
"0642 Mullsjö";"totalt";"samtliga åldrar";144
"0643 Habo";"totalt";"samtliga åldrar";223
"0662 Gislaved";"totalt";"samtliga åldrar";535
"0665 Vaggeryd";"totalt";"samtliga åldrar";254
"0680 Jönköping";"totalt";"samtliga åldrar";2510
"0682 Nässjö";"totalt";"samtliga åldrar";611
"0683 Värnamo";"totalt";"samtliga åldrar";522
"0684 Sävsjö";"totalt";"samtliga åldrar";185
"0685 Vetlanda";"totalt";"samtliga åldrar";589
"0686 Eksjö";"totalt";"samtliga åldrar";307
"0687 Tranås";"totalt";"samtliga åldrar";370
"0760 Uppvidinge";"totalt";"samtliga åldrar";174
"0761 Lessebo";"totalt";"samtliga åldrar";148
"0763 Tingsryd";"totalt";"samtliga åldrar";215
"0764 Alvesta";"totalt";"samtliga åldrar";401
"0765 Älmhult";"totalt";"samtliga åldrar";311
"0767 Markaryd";"totalt";"samtliga åldrar";164
"0780 Växjö";"totalt";"samtliga åldrar";1435
"0781 Ljungby";"totalt";"samtliga åldrar";659
"0821 Högsby";"totalt";"samtliga åldrar";134
"0834 Torsås";"totalt";"samtliga åldrar";162
"0840 Mörbylånga";"totalt";"samtliga åldrar";241
"0860 Hultsfred";"totalt";"samtliga åldrar";251
"0861 Mönsterås";"totalt";"samtliga åldrar";256
"0862 Emmaboda";"totalt";"samtliga åldrar";154
"0880 Kalmar";"totalt";"samtliga åldrar";1173
"0881 Nybro";"totalt";"samtliga åldrar";417
"0882 Oskarshamn";"totalt";"samtliga åldrar";598
"0883 Västervik";"totalt";"samtliga åldrar";602
"0884 Vimmerby";"totalt";"samtliga åldrar";242
"0885 Borgholm";"totalt";"samtliga åldrar";202
"0980 Gotland";"totalt";"samtliga åldrar";964
"1060 Olofström";"totalt";"samtliga åldrar";234
"1080 Karlskrona";"totalt";"samtliga åldrar";896
"1081 Ronneby";"totalt";"samtliga åldrar";448
"1082 Karlshamn";"totalt";"samtliga åldrar";588
"1083 Sölvesborg";"totalt";"samtliga åldrar";343
"1214 Svalöv";"totalt";"samtliga åldrar";233
"1230 Staffanstorp";"totalt";"samtliga åldrar";366
